English title,Publication dates,English abstract,Inventors
"(US10916956), Battery",2021-02-09,"A battery includes an anode having an alkali metal as the active material, a cathode having, for example, iron disulfide as the active material, and an increased electrolyte volume.","Pozin Michael ([US]), Berkowitz Fred J. ([US]), Specht Steven J. ([US]), Kouznetsova Yelena ([US]), Patel Bhupendra K. ([US]), Zhao Yang ([CN]), Chang Haitao ([CN])"
"(US10826050), Methods of preparing a safety battery",2020-11-03,"The present invention relates, in part, to methods of preparing a safety battery. Methods can include dispensing a safety ink formulation between the two poles of a battery. Upon exposure to moisture, the formulation provides an electrical connection between two poles, thus minimizing electrical discharge and/or reducing the formation of electrochemically generated ions at the pole(s).","Kaehr Bryan James ([US]), Paxton Walter F. ([US]), Cook Adam ([US]), Reinholtz William ([US]), Pozin Michael ([US])"
"(US10637011), Battery cell with safety layer",2020-04-28,"A battery cell comprising a composite water-responsive safety layer and/or composite water- and pH-responsive safety layer to protect against tissue damage and/or electrolysis, when the battery cell is exposed to aqueous solution or tissue, is provided. The composite water-responsive safety layer and/or composite water- and pH-responsive safety layer is adapted to change from a non-electronically conducting state to an electronically conducting state.","Pozin Michael ([US]), Paxton Walter Fred ([US])"
"(US10608236), Battery cell with safety layer",2020-03-31,"A battery cell comprising a composite water-responsive safety layer and/or composite water- and pH-responsive safety layer to protect against tissue damage and/or electrolysis, when the battery cell is exposed to aqueous solution or tissue, is provided. The composite water-responsive safety layer and/or composite water- and pH-responsive safety layer is adapted to change from a non-electronically conducting state to an electronically conducting state.","Pozin Michael ([US]), Paxton Walter Fred ([US]), Kaehr Bryan James ([US])"
"(US10254344), Primary alkaline battery with integrated in-cell resistances",2019-04-09,The invention is directed toward a primary AA alkaline battery. The primary AA alkaline battery includes an anode; a cathode; an electrolyte; and a separator between the anode and the cathode. The anode includes an electrochemically active anode material. The cathode includes an electrochemically active cathode material. The electrolyte includes potassium hydroxide. The primary AA alkaline battery has an integrated in-cell ionic resistance (Ri) at 22° C. of less than about 39 m?. The electrochemically active cathode material includes electrolytic manganese dioxide. The electrolytic manganese dioxide has a specific cathode loading from about 2.9 g/cm3 to about 3.45 g/cm3. The separator has a porosity of greater than 75%.,"Pozin Michael ([US]), Derooy Brianna Rose ([US]), Issaev Nikolai N. ([US])"
"(US10008748), Alkaline electrochemical cells with separator and electrolyte combination",2018-06-26,"An alkaline electrochemical cell having an anode including electrochemically active anode material, a cathode including electrochemically active cathode material, a separator between the anode and the cathode, and an electrolyte. The electrolyte includes a hydroxide dissolved in water. The separator in combination with the electrolyte has an initial area-specific resistance between about 100 mOhm-cm2 and about 220 mOhm-cm2.","Issaev Nikolai Nikolaevich ([US]), Cervera James Joseph ([US]), Pozin Michael ([US])"
"(US9958504), Primary alkaline battery with integrated in-cell resistances",2018-05-01,The invention is directed toward a primary AA alkaline battery. The primary AA alkaline battery includes an anode; a cathode; an electrolyte; and a separator between the anode and the cathode. The anode includes an electrochemically active anode material. The cathode includes an electrochemically active cathode material. The electrolyte includes potassium hydroxide. The primary AA alkaline battery has an integrated in-cell ionic resistance (Ri) at 22° C. of less than about 39 m?. The electrochemically active cathode material includes electrolytic manganese dioxide. The electrolytic manganese dioxide has a specific cathode loading from about 2.9 g/cm3 to about 3.45 g/cm3. The separator has a porosity of greater than 75%.,"Pozin Michael ([US]), DeRooy Brianna Rose ([US]), Issaev Nikolai N. ([US])"
"(US9543623), Battery condition indicator",2017-01-10,"The invention is directed towards a battery condition indicator. The battery condition indicator includes at least one indicator electrode, a counter electrode for the at least one indicator electrode, and a separator that is combined with an electrolyte. The at least one indicator electrode is in electrical connection with a first terminal of a battery. The at least one indicator electrode includes at least one redox material. The counter electrode is a second terminal of the battery. The separator that is combined with electrolyte is positioned between the at least one indicator electrode and the counter electrode.","Bae In Tae ([US]), Pozin Michael ([US])"
"(US10536016), Battery",2020-01-14,"A battery includes an anode having an alkali metal as the active material, a cathode having, for example, iron disulfide as the active material, and an increased electrolyte volume.","Pozin Michael ([US]), Berkowitz Fred J. ([US]), Specht Steven J. ([US]), Kouznetsova Yelena ([US]), Patel Bhupendra K. ([US]), Zhao Yang ([CN]), Chang Haitao ([CN])"
"(US8920969), Alkaline electrochemical cells with separator and electrolyte combination",2014-12-30,"An alkaline electrochemical cell having an anode including electrochemically active anode material, a cathode including electrochemically active cathode material, a separator between the anode and the cathode, and an electrolyte. The electrolyte includes a hydroxide dissolved in water. The separator in combination with the electrolyte has an initial area-specific resistance between about 100 mOhm-cm2 and about 220 mOhm-cm2.","Issaev Nikolai Nikolaevich ([US]), Cervera James Joseph ([US]), Pozin Michael ([US])"
"(US8790828), Anode balanced lithium—iron disulfide primary cell",2014-07-29,A primary electrochemical cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The cell is balanced so that the anode is in theoretical capacity excess (mAmp-hrs) compared to the theoretical capacity of the cathode. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added. The electrolyte comprises a lithium salt dissolved in organic solvent.,"Specht Steven Jeffrey ([US]), Pozin Michael ([US]), Kouznetsova Yelena Valentinovna ([US]), Patel Bhupendra Kanchanial ([US]), Berkowitz Fred Joseph ([US])"
"(US8497041), Electrochemical cell including electrolyte containing bis(oxalate)borate salt",2013-07-30,"An electrochemical cell includes a cathode containing an aluminum current collector, a positive lead coupled to the cathode current collector an anode, and an electrolyte including from greater than 0.075 M to less than 0.2 M of a bis(oxalate)borate salt and a second lithium salt. The positive lead may include a metal selected from aluminum, titanium, and steel. The anode may include lithium, graphite, and a lithiated metal oxide. The aluminum current collector has an aluminum surface having at least one dimension greater than 1 millimeter.","Totir Dana Alexa ([US]), Nanjundaswamy Kirakodu S. ([US]), Pozin Michael ([US])"
"(US8197973), Lithium cell",2012-06-12,"A primary cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The cell can be in the configuration of a coin cell or the anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added. The electrolyte comprises a lithium salt dissolved in a nonaqueous solvent mixture which may include an organic cyclic carbonate such as ethylene carbonate and propylene carbon. The cell after assembly is subjected to a two step preconditioning (prediscahrge) protocol involving at least two distinct discharge steps having at lease one cycle of pulsed current drain in each step and at least one rest period (step rest) between said two steps, wherein said step rest period is carried out for a period of time at above ambient temperature. The preconditioning improves cell performance.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US8142918), Flexible cathodes",2012-03-27,"This disclosure relates to methods of making a cathode for a lithium battery. The batteries include: (a) treating a cathode current collector with flame or corona; (b) coating a slurry containing iron disulfide, a first solvent, and a binder onto the cathode current collector obtained from step (a) to form a coated cathode current collector, in which the slurry contains about 73-75% by weight solids and the binder contains a polymer selected from the group consisting of linear di- and tri-block copolymers, linear tri-block copolymers cross-linked with melamine resin, ethylene-propylene copolymers, ethylene-propylene-diene terpolymers, tri-block fluorinated thermoplastics, hydrogenated nitrile rubbers, fluoro-ethylene-vinyl ether copolymers, thermoplastic polyurethanes, thermoplastic olefins, and polyvinylidene fluoride homopolymers; and (c) drying the coated cathode current collector obtained from step (b) to provide a cathode, in which the cathode contains no more than 0.5% by volume of the first solvent and is capable of being bent to 180°. This disclosure also relates to methods of making a lithium battery.","Boczer Christopher ([US]), Delnick Frank M. ([US]), Del Rosauro Rosario ([US]), Kang Minkoo ([US]), Pawlowska Lucyna M. ([US]), Pozin Michael ([US]), Rana Dharmendra ([US]), Stevanovic Maya ([US]), Weckesser John J. ([US])"
"(US8257863), Method of making electrode",2012-09-04,"Batteries and related compositions and methods are disclosed. In some embodiments, a method of making a battery can include heating at least one cathode including a cathode material in an atmosphere including oxygen, heating the cathode in a vacuum, adding the cathode into a housing, adding a separator into the housing, and adding an anode into the housing.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7967875), Flexible cathodes",2011-06-28,"This disclosure relates to methods of making a cathode for a lithium battery. The methods include: (a) treating a cathode current collector with flame or corona; (b) coating a slurry containing iron disulfide, a first solvent, and a binder onto the cathode current collector obtained from step (a) to form a coated cathode current collector, in which the slurry contains about 73-75% by weight solids and the binder contains a polymer selected from the group consisting of linear di- and tri-block copolymers, linear tri-block copolymers cross-linked with melamine resin, ethylene-propylene copolymers, ethylene-propylene-diene terpolymers, tri-block fluorinated thermoplastics, hydrogenated nitrile rubbers, fluoro-ethylene-vinyl ether copolymers, thermoplastic polyurethanes, thermoplastic olefins, and polyvinylidene fluoride homopolymers; and (c) drying the coated cathode current collector obtained from step (b) to provide a cathode, in which the cathode contains no more than 0.5% by volume of the first solvent and is capable of being bent to 180°. This disclosure also relates to methods of making a lithium battery.","Boczer Christopher ([US]), Delnick Frank M. ([US]), Del Rosario Rosauro ([US]), Kang Minkoo ([US]), Pawlowska Lucyna M. ([US]), Pozin Michael ([US]), Rana Dharmendra ([US]), Stevanovic Maya ([US]), Weckesser John J. ([US])"
"(US8088519), Battery cartridges",2012-01-03,"Battery cartridges are disclosed that include a housing having a plurality of air access openings configured to selectively control flow of air into the housing; and at least two adjacent metal-air electrochemical cells within the housing, each electrochemical cell having an outer gas permeable barrier membrane layer that defines the exterior surface of the electrochemical cell; wherein there is a gap between adjacent electrochemical cells in the housing and wherein the air access openings in the housing are positioned over or partially overlapping each gap.","Kelsey G. Steven ([US]), Kouznetsova Yelena ([US]), Makovetski Boris ([US]), Motupally Sathya ([US]), O'Neill Jonathan ([US]), Pappas David L. ([US]), Pavlinsky Robert ([US]), Podoprigora Oleg ([US]), Richards Thomas ([US]), Wandeloski William ([US])"
"(US8349493), Electrochemical cells with improved separator and electrolyte",2013-01-08,"An electrochemical cell is described. The electrochemical cell includes an anode, a cathode, a separator between said anode and said cathode, and an electrolyte. The electrolyte includes a salt dissolved in an organic solvent. The separator in combination with the electrolyte has an area specific resistance less than 2 ohm-cm2. The electrochemical cell has an interfacial anode to cathode ratio of less than about 1.1.","Issaev Nikolai Nikolaevich ([US]), Pozin Michael ([US]), Sliger Michael Dean ([US]), Navok Eric ([US]), Berkowitz Fred Joseph ([US])"
"(US8119286), Electrochemical cells with improved separator and electrolyte",2012-02-21,"An electrochemical cell is described. The electrochemical cell includes an anode, a cathode, a separator between said anode and said cathode, and an electrolyte. The electrolyte includes a salt dissolved in an organic solvent. The separator in combination with the electrolyte has an area specific resistance less than 2 ohm-cm2.","Issaev Nikolai Nikolaevich ([US]), Pozin Michael ([US]), Sliger Michael Dean ([US]), Navok Eric ([US]), Berkowitz Fred Joseph ([US])"
"(US7763385), Zinc/air cell",2010-07-27,"A zinc/air depolarized cell wherein the anode comprises zinc particles, aqueous alkaline electrolyte, and pyrophosphate based (P2O7)4? additive. The cell may be in the form of a button cell. The addition of a pyrophosphate containing additive to the zinc anode improves the cell's service life regardless of whether the zinc is amalgamated with mercury or contains zero added mercury. The pyrophosphate based on (P2O7) content preferably comprises between about 0.001 and 2 percent by weight of the anode.","Pozin Michael ([US]), Issaev Nikolai Nikolaevich ([US])"
"(US8062788), Lithium cell",2011-11-22,"A primary cell having an anode comprising lithium and a cathode comprising iron disulfide (FeS2) and carbon particles. The electrolyte comprises a lithium salt dissolved in a nonaqueous solvent mixture which contains an additive, preferably iodine, suppressing voltage delay. A cathode slurry is prepared comprising iron disulfide powder, carbon, binder, and liquid solvent. The mixture is coated onto a conductive substrate and solvent evaporated leaving a dry cathode coating on the substrate. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Issaev Nikolai N. ([US]), Pozin Michael ([US]), Stevanovic Maya ([US])"
"(US7749288), Method of making non-aqueous electrochemical cell",2010-07-06,"A method of making a lithium electrochemical cell includes treating the cathode active material with an agent that includes lithium but not sodium. A cathode including the cathode active material, an anode, a separator, and an electrolyte are assembled in a housing to provide a cell containing less than 1500 ppm by weight of sodium.","Bowden William L. ([US]), Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US7744659), Method of making non-aqueous electrochemical cell",2010-06-29,"A method of making a lithium electrochemical cell includes treating the cathode active material with an agent that includes lithium but not sodium. A cathode including the cathode active material, an anode, a separator, and an electrolyte are assembled in a housing to provide a cell containing less than 1500 ppm by weight of sodium.","Bowden William L. ([US]), Issaev Nikolai N. ([US]), Pozin Michael ([US])"
"(US8048562), Lithium cell with improved iron disulfide cathode",2011-11-01,"A primary cell having an anode comprising lithium or lithium alloy and a cathode comprising iron disulfide (FeS2) with calcium hydroxide Ca(OH)2 and lithium carbonate Li2CO3 additive mixed therein. The electrolyte may typically comprise lithium bistrifluoromethylsulfonyl imide, Li(CF3SO2)2N (LiTFSI) salt dissolved in a solvent mixture comprising 1,3-dioxolane and sulfolane. The electrolyte typically contains between about 100 and 2000 parts by weight water per million parts by weight (ppm) electrolyte therein. A cathode slurry is prepared comprising iron disulfide powder with Ca(OH)2 and Li2CO3 mixed therein, carbon, binder, and a liquid solvent. The mixture is coated onto a conductive substrate and solvent evaporated leaving a dry cathode coating on the substrate. The anode and cathode can be spirally wound with separator therebetween and inserted into the cell casing with electrolyte then added.","Pozin Michael ([US]), Kim Il-Seok ([US])"
"(US7753968), Flexible cathodes",2010-07-13,"This disclosure relates to methods of making a cathode for a lithium batter. The methods include: (a) treating a cathode current collector with flame or corona; (b) coating a slurry containing iron disulfide, a first solvent, and a binder onto the cathode current collector obtained from step (a) to form a coated cathode current collector, in which the slurry contains about 73-75% by weight solids and the binder contains a polymer selected from the group consisting of linear di- and tri-block copolymers, linear tri-block copolymers cross-linked with melamine resin, ethylene-propylene copolymers, ethylene-propylene-diene terpolymers, tri-block fluorinated thermoplastics, hydrogenated nitrile rubbers, fluoro-ethylene-vinyl ether copolymers, thermoplastic polyurethanes, thermoplastic olefins, and polyvinylidene fluoride homopolymers; and (c) drying the coated cathode current collector obtained from step (b) to provide a cathode, in which the cathode contains no more than 0.5% by volume of the first solvent and is capable of being bent to 180°. This disclosure also relates to methods of making a lithium battery.","Boczer Christopher ([US]), Delnick Frank M. ([US]), Del Rosario Rosauro ([US]), Kang Minkoo ([US]), Pawlowska Lucyna M. ([US]), Pozin Michael ([US]), Rana Dharmendra ([US]), Stevanovic Maya ([US]), Weckesser John J. ([US])"
"(US8435670), Battery including aluminum components",2013-05-07,"A primary lithium battery can include a current collector that includes aluminum, a positive lead that includes aluminum, or both. The aluminum battery components can have high mechanical strength and low electrical resistance.","Berkowitz Fred J. ([US]), Issaev Nikolai N. ([US]), Janik Jaroslav ([US]), Pozin Michael ([US])"
"(US8309255), Electrochemical cell including electrolyte containing bis(oxalate)borate salt",2012-11-13,"An electrochemical cell includes a cathode with an aluminum current collector, a positive lead including aluminum, steel, or titanium coupled to the cathode current collector, an anode, and an electrolyte including up to 0.15M of a bis(oxalate) borate salt and an additional lithium salt.","Totir Dana Alexa ([US]), Nanjundaswamy Kirakodu S. ([US]), Pozin Michael ([US])"
"(US8304116), Battery",2012-11-06,"A battery includes an anode having an alkali metal as the active material, a cathode having, for example, iron disulfide as the active material, and an increased electrolyte volume.","Pozin Michael ([US]), Berkowitz Fred J. ([US]), Specht Steven J. ([US]), Kouznetsova Yelena ([US]), Patel Bhupendra K. ([US]), Zhao Yang ([CN]), Chang Haitao ([CN])"
"(US7927739), Non-aqueous electrochemical cells",2011-04-19,"An electrochemical secondary cell is disclosed. The cell includes a cathode, an anode, a cathode current collector including stainless steel, and an electrolyte containing a perchlorate salt and a second salt.","Issaev Nikolai N. ([US]), Pozin Michael ([US])"
